證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
3481,群創,74782150,"11,536",536055641,7.16,7.23,7.10,7.23,+,0.07,7.22,3,7.23,8,0.00,
3494,誠研,88202,25,384390,4.37,4.38,4.35,4.37,-,0.01,4.37,2,4.38,5,0.00,
3501,維熹,564080,329,28911120,51.30,51.50,51.00,51.20,X,0.0,51.20,25,51.30,1,8.22,
3504,揚明光,1539000,"1,161",135000900,89.00,89.00,86.00,88.60,+,1.0,88.50,6,88.60,2,63.29,
3515,華擎,67000,58,3986100,59.90,59.90,59.20,59.50,-,0.2,59.50,4,59.60,1,14.30,
3518,柏騰,59221,45,1295516,22.15,22.20,21.70,21.80,-,0.2,21.80,10,21.95,2,0.00,
3528,安馳,29000,46,1171795,40.40,40.40,40.35,40.40,+,0.1,40.35,30,40.40,29,14.74,
3530,晶相光,197026,134,14492621,73.10,75.00,73.00,73.70,+,0.4,73.70,12,73.90,2,44.13,
3532,台勝科,460150,354,51028722,110.50,112.00,110.00,112.00,+,1.5,111.50,22,112.00,39,7.90,
3533,嘉澤,3161346,"2,331",724871080,226.50,233.50,223.00,230.00,X,0.0,229.50,17,230.00,33,14.24,
3535,晶彩科,7149799,"4,088",188108329,24.90,27.45,24.50,27.45,+,2.45,27.40,15,27.45,36,9.77,
3536,誠創,44001,24,291346,6.69,6.72,6.56,6.69,,0.0,6.54,1,6.69,8,0.00,
3545,敦泰,937001,532,21548372,22.90,23.25,22.70,23.25,+,0.3,23.20,4,23.25,37,0.00,
3550,聯穎,14068,14,206558,14.80,14.80,14.60,14.65,+,0.05,14.60,8,14.70,1,13.20,
3557,嘉威,32501,30,806373,24.80,24.90,24.70,24.90,+,0.1,24.80,10,24.90,13,166.00,
3563,牧德,579285,560,213560875,364.00,373.50,363.00,373.00,+,7.0,373.00,6,373.50,5,11.83,
3576,聯合再生,5754126,"1,729",51906859,9.00,9.13,8.96,9.02,-,0.02,9.01,1,9.03,39,0.00,
3583,辛耘,717010,574,48294242,67.00,68.20,66.50,67.50,-,0.3,67.50,4,67.60,1,10.92,
3588,通嘉,106615,59,2554439,23.80,24.20,23.70,23.85,+,0.05,23.80,2,24.10,1,33.12,
3591,艾笛森,60516,32,876027,14.50,14.55,14.40,14.40,-,0.15,14.40,15,14.50,10,41.14,
3593,力銘,17914,11,127072,7.07,7.11,7.07,7.11,-,0.09,7.11,1,7.20,2,0.00,
3596,智易,4225488,"2,954",451363943,105.00,108.50,104.50,108.00,+,4.5,108.00,22,108.50,114,20.53,
3605,宏致,131811,71,2916563,22.30,22.30,22.00,22.30,,0.0,22.20,4,22.30,8,8.17,
3607,谷崧,76001,42,1431869,18.70,18.90,18.70,18.85,+,0.15,18.75,7,18.85,4,0.00,
3617,碩天,112000,35,10285400,92.00,92.00,91.20,91.70,-,0.3,91.20,1,91.70,1,12.56,
3622,洋華,124150,72,2234890,18.00,18.10,17.95,18.00,,0.0,18.00,13,18.20,3,19.57,
